REQUEST: 2024/11/23 12:45:43 Requesting https://www.eventbrite.com/e/new-years-eve-5-hours-premium-open-bar-at-katra-nyc-tickets-698713740607?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:43-05:00]
REQUEST: 2024/11/23 12:45:43 Finished processing site https://www.eventbrite.com/d/nj--newark/all-events/?page=4 [Status: 200, Length: 917807 bytes, Timestamp: 2024-11-23T12:45:43-05:00]
REQUEST: 2024/11/23 12:45:43 Requesting https://www.eventbrite.com/d/nj--jersey%20city/all-events/?page=1 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:43-05:00]
REQUEST: 2024/11/23 12:45:44 Finished processing site https://www.eventbrite.com/e/new-years-eve-5-hours-premium-open-bar-at-katra-nyc-tickets-698713740607?aff=ebdssbdestsearch [Status: 200, Length: 173440 bytes, Timestamp: 2024-11-23T12:45:44-05:00]
REQUEST: 2024/11/23 12:45:44 Finished processing site https://www.eventbrite.com/d/nj--jersey-city/all-events/?page=1 [Status: 200, Length: 927176 bytes, Timestamp: 2024-11-23T12:45:44-05:00]
REQUEST: 2024/11/23 12:45:44 Requesting https://www.eventbrite.com/d/nj--jersey%20city/all-events/?page=2 [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:44-05:00]
REQUEST: 2024/11/23 12:45:44 Requesting https://www.eventbrite.com/e/party-at-soho-1-event-everyone-free-at-katra-nyc-tickets-1028036624217?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:44-05:00]
REQUEST: 2024/11/23 12:45:45 Finished processing site https://www.eventbrite.com/e/party-at-soho-1-event-everyone-free-at-katra-nyc-tickets-1028036624217?aff=ebdssbdestsearch [Status: 200, Length: 169368 bytes, Timestamp: 2024-11-23T12:45:45-05:00]
REQUEST: 2024/11/23 12:45:46 Finished processing site https://www.eventbrite.com/d/nj--jersey-city/all-events/?page=2 [Status: 200, Length: 909791 bytes, Timestamp: 2024-11-23T12:45:46-05:00]
REQUEST: 2024/11/23 12:45:46 Requesting https://www.eventbrite.com/e/the-streetwear-expo-fashion-jewelry-and-more-tickets-1045419727547?aff=ebdssbdestsearch [Method: GET, Headers: &map[Accept-Language:[en-US] User-Agent:[colly - https://github.com/gocolly/colly]], Timestamp: 2024-11-23T12:45:46-05:00]
